Z,E,f0,X2i,alpha
50.0,100.0,2.4,-21.797790191527252,0.500068620895365
50.0,100.0,2.6,-16.03323677010524,0.36782254208648407
50.0,100.0,2.8,-11.763732618914148,0.2698747669205844
50.0,100.0,3.0,-7.584851530587181,0.174005998372768
50.0,100.0,3.2,-1.7062008649782328,0.03914238581174101
50.0,100.0,3.4,15.816393592234768,-0.3628478878689935
50.0,100.0,3.6,-38.785980533718394,0.8897989945379908
50.0,100.0,3.8,-15.465238429198923,0.3547919484110627
50.0,110.0,2.4,-18.441799925651893,0.4230779989447563
50.0,110.0,2.6,-13.621600963749938,0.3124965947684509
50.0,110.0,2.8,-9.461667858534076,0.2170625166961306
50.0,110.0,3.0,-4.599723325086444,0.10552341679893285
50.0,110.0,3.2,4.71914014254005,-0.10826298822755179
50.0,110.0,3.4,35.5927801761698,-0.8165429770696426
50.0,110.0,3.6,-23.098880209524367,0.5299172562498534
50.0,110.0,3.8,-11.215638766533791,0.2573008071534329
50.0,120.0,2.4,-15.916149669399188,0.3651364172793249
50.0,120.0,2.6,-11.451100999025511,0.2627026058146957
50.0,120.0,2.8,-6.965385511183385,0.15979467166061317
50.0,120.0,3.0,-0.3714202638305695,0.008520846263514384
50.0,120.0,3.2,21.65139081886672,-0.49671003583958456
50.0,120.0,3.4,-41.128095824780274,0.9435300541219348
50.0,120.0,3.6,-16.426486245672525,0.37684417782051344
50.0,120.0,3.8,-7.397505349400504,0.16970804222065997
50.0,130.0,2.4,-13.760985832776583,0.31569425832128795
50.0,130.0,2.6,-9.253709566809947,0.21229169290011743
50.0,130.0,2.8,-3.8269948578176582,0.08779605748597412
50.0,130.0,3.0,7.53540075136323,-0.17287153553266166
50.0,130.0,3.2,-50.138021707837964,1.1502290438416092
50.0,130.0,3.4,-23.692209178363534,0.5435289662708077
50.0,130.0,3.6,-12.22379208090043,0.280429107459873
50.0,130.0,3.8,-3.0310032114833128,0.06953501169513206
50.0,140.0,2.4,-11.719032702949441,0.2688492948367537
50.0,140.0,2.6,-6.747376226973161,0.1547932655024895
50.0,140.0,2.8,0.9420008128542968,-0.02161067902880645
50.0,140.0,3.0,33.98891581707433,-0.7797483189364592
50.0,140.0,3.2,-37.7028740956326,0.8649511756528002
50.0,140.0,3.4,-16.97355500513241,0.38939462067156816
50.0,140.0,3.6,-8.761415332530916,0.20099784629238446
50.0,140.0,3.8,3.5358324799353644,-0.0811164276939226
50.0,150.0,2.4,-9.582874687512858,0.21984315323212586
50.0,150.0,2.6,-3.4684189218335604,0.07956987619794931
50.0,150.0,2.8,10.75123256061935,-0.24664674686170882
50.0,150.0,3.0,-99.20881582346888,2.275974549419606
50.0,150.0,3.2,-22.96408485446747,0.5268248818984109
50.0,150.0,3.4,-12.924002538958632,0.2964928127722482
50.0,150.0,3.6,-5.198890738122145,0.11926906804566656
50.0,150.0,3.8,17.852719418836728,-0.40956375396620315
50.0,160.0,2.4,-7.103644843214984,0.1629665139844204
50.0,160.0,2.6,1.6845172962878707,-0.03864493757520857
50.0,160.0,2.8,53.14583250934556,-1.2192319925904567
50.0,160.0,3.0,-33.99193512076417,0.7798175855464677
50.0,160.0,3.2,-16.978378877001866,0.3895052863368461
50.0,160.0,3.4,-9.735581188290507,0.22334643171011206
50.0,160.0,3.6,-0.5926753539793578,0.013596715277052774
50.0,160.0,3.8,-21.511060799094974,0.49349068934432594
50.0,170.0,2.4,-3.8542952030671827,0.08842236161492219
50.0,170.0,2.6,12.665142714576703,-0.29055424403447755
50.0,170.0,2.8,-78.33551292110265,1.7971148253740574
50.0,170.0,3.0,-22.37478481135929,0.5133056004822043
50.0,170.0,3.2,-13.287612523639952,0.30483448144534375
50.0,170.0,3.4,-6.646888609766053,0.15248795364691656
50.0,170.0,3.6,7.4037215621506425,-0.16985064993042506
50.0,170.0,3.8,-34.708122279735846,0.7962478163975356
50.0,180.0,2.4,1.1554120723672567,-0.026506600738781926
50.0,180.0,2.6,64.57440230726564,-1.4814177044188854
50.0,180.0,2.8,-32.87465277869613,0.7541857285995246
50.0,180.0,3.0,-17.14799779218967,0.3933965567936424
50.0,180.0,3.2,-10.385811187996843,0.23826352267946774
50.0,180.0,3.4,-2.9828897890248376,0.06843122949501171
50.0,180.0,3.6,28.26503613626182,-0.6484353467037283
50.0,180.0,3.8,-21.511142561576985,0.49349256507811645
70.0,0.0,2.4,-11.276860094831289,0.2587053011384705
70.0,0.0,2.6,-8.965330936293954,0.20567592576084656
70.0,0.0,2.8,-6.42583878835794,0.14741679375550296
70.0,0.0,3.0,-3.168520425776712,0.0726898289081082
70.0,0.0,3.2,2.2194117491906096,-0.05091608657872654
70.0,0.0,3.4,17.25174412707434,-0.3957766277161018
70.0,0.0,3.6,-53.754060935346125,1.233185514828582
70.0,0.0,3.8,-21.511142345280305,0.49349256011599957
70.0,10.0,2.4,-9.747044361950323,0.22360941127789302
70.0,10.0,2.6,-7.054233021126391,0.16183294486981473
70.0,10.0,2.8,-3.71544997337398,0.08523707806459385
70.0,10.0,3.0,1.3520307103870224,-0.031017278669569926
70.0,10.0,3.2,13.452407516954635,-0.3086150850897153
70.0,10.0,3.4,-40.394281180595655,0.9266954266718156
70.0,10.0,3.6,-23.169400332731634,0.5315350762420532
70.0,10.0,3.8,-13.540474055220745,0.3106354418300458
70.0,20.0,2.4,-7.607379139550982,0.1745228099508048
70.0,20.0,2.6,-3.8989931396702042,0.08944778828971556
70.0,20.0,2.8,1.0700595889585953,-0.02454850781775022
70.0,20.0,3.0,13.194793058882482,-0.30270508661560747
70.0,20.0,3.2,-16.611443893629744,0.3810873380273664
70.0,20.0,3.4,-26.814716850292402,0.6151632049489837
70.0,20.0,3.6,-15.231478465675163,0.34942920193296717
70.0,20.0,3.8,-9.527432203303563,0.21857123317170013
70.0,30.0,2.4,-4.286383080290187,0.09833499894971498
70.0,30.0,2.6,0.8875027261400277,-0.020360424630301705
70.0,30.0,2.8,13.875328133019867,-0.3183174139664362
