Z,E,f0,alpha
70.0,55.0,3.625,0.0685394193238318
70.0,55.0,3.65,0.04991184337406295
70.0,55.0,3.675,0.02947460374004816
70.0,55.0,3.7,0.006811451026733631
70.0,55.0,3.725,-0.018617462459375397
70.0,55.0,3.75,-0.04752533977067637
70.0,55.0,3.775,-0.0808735326611251
70.0,55.0,3.8,-0.11998634864001773
70.0,57.5,2.4,-1.443462572030737
70.0,57.5,2.425,-2.2729856427215727
70.0,57.5,2.45,-3.3743723233101885
70.0,57.5,2.475,3.19567432555052
70.0,57.5,2.5,2.9166453202882203
70.0,57.5,2.525,2.023822510707902
70.0,57.5,2.55,1.5439673501421778
70.0,57.5,2.575,1.2581541587191911
70.0,57.5,2.6,1.0700195527572116
70.0,57.5,2.625,0.936835292390408
70.0,57.5,2.65,0.8373610290098983
70.0,57.5,2.675,0.7599725131317044
70.0,57.5,2.7,0.6978064189190306
70.0,57.5,2.725,0.6465647259145817
70.0,57.5,2.75,0.6034100972399122
70.0,57.5,2.775,0.5664189441243347
70.0,57.5,2.8,0.534230481381061
70.0,57.5,2.825,0.5058724612642321
70.0,57.5,2.85,0.480639672123966
70.0,57.5,2.875,0.4579887073423665
70.0,57.5,2.9,0.43743952399179664
70.0,57.5,2.925,0.4185663638735009
70.0,57.5,2.95,0.40105450375483026
70.0,57.5,2.975,0.38469026537432
70.0,57.5,3.0,0.36931171691949644
70.0,57.5,3.025,0.35478154644779614
70.0,57.5,3.05,0.340979019500474
70.0,57.5,3.075,0.3277974545917702
70.0,57.5,3.1,0.3151423882948847
70.0,57.5,3.125,0.3029296847961153
70.0,57.5,3.15,0.291083680204761
70.0,57.5,3.175,0.27953547026412906
70.0,57.5,3.2,0.2682213750179739
70.0,57.5,3.225,0.2570815666450717
70.0,57.5,3.25,0.2460588258238813
70.0,57.5,3.275,0.2350973846614193
70.0,57.5,3.3,0.22414181210091816
70.0,57.5,3.325,0.21313589661296237
70.0,57.5,3.35,0.20202147894392722
70.0,57.5,3.375,0.19073718437844472
70.0,57.5,3.4,0.17921700313301123
70.0,57.5,3.425,0.1673887038475115
70.0,57.5,3.45,0.15517220815227778
70.0,57.5,3.475,0.1424687631911882
70.0,57.5,3.5,0.12918480854570635
70.0,57.5,3.525,0.11519012734359274
70.0,57.5,3.55,0.10033856301744623
70.0,57.5,3.575,0.0844534346159848
70.0,57.5,3.6,0.06731863336671716
70.0,57.5,3.625,0.048665965528365863
70.0,57.5,3.65,0.028157422343237284
70.0,57.5,3.675,0.0053599471733842136
70.0,57.5,3.7,-0.020291204242826728
70.0,57.5,3.725,-0.04954685016557282
70.0,57.5,3.75,-0.08342652523231069
70.0,57.5,3.775,-0.12334712843514735
70.0,57.5,3.8,-0.17132785393349825
70.0,60.0,2.4,-3.386717631632249
70.0,60.0,2.425,1.7300465170431514
70.0,60.0,2.45,3.3177426942270762
70.0,60.0,2.475,2.2230196875421915
70.0,60.0,2.5,1.6531955850603433
70.0,60.0,2.525,1.3270723551064278
70.0,60.0,2.55,1.118122306604453
70.0,60.0,2.575,0.972863006772083
70.0,60.0,2.6,0.8657823257201781
70.0,60.0,2.625,0.7833062152476564
70.0,60.0,2.65,0.7175711994351667
70.0,60.0,2.675,0.6637283282555991
70.0,60.0,2.7,0.618626818164472
70.0,60.0,2.725,0.5801343094902278
70.0,60.0,2.75,0.5467620577810552
70.0,60.0,2.775,0.5174475235342769
70.0,60.0,2.8,0.4914238831103658
70.0,60.0,2.825,0.4681197556449593
70.0,60.0,2.85,0.4470545472555221
70.0,60.0,2.875,0.42778574412863524
70.0,60.0,2.9,0.40995894077288175
70.0,60.0,2.925,0.39333309361517743
70.0,60.0,2.95,0.37773628323398617
70.0,60.0,2.975,0.3630276886150776
70.0,60.0,3.0,0.3490842374257276
70.0,60.0,3.025,0.33579710792255135
70.0,60.0,3.05,0.3230699919364382
70.0,60.0,3.075,0.31081735542050887
70.0,60.0,3.1,0.2989626486604289
70.0,60.0,3.125,0.28743660599306353
70.0,60.0,3.15,0.2761757040062582
70.0,60.0,3.175,0.26512078496991576
70.0,60.0,3.2,0.254215821584754
70.0,60.0,3.225,0.24340678744243519
70.0,60.0,3.25,0.23264059493086905
70.0,60.0,3.275,0.22186406555483812
70.0,60.0,3.3,0.211022918054679
70.0,60.0,3.325,0.200060891791932
70.0,60.0,3.35,0.18891232135124406
70.0,60.0,3.375,0.1775190139739382
70.0,60.0,3.4,0.16580922904572218
70.0,60.0,3.425,0.15369904694255335
70.0,60.0,3.45,0.14109705665810998
70.0,60.0,3.475,0.12789698066422214
70.0,60.0,3.5,0.11397385198954824
70.0,60.0,3.525,0.09917866215661189
70.0,60.0,3.55,0.08333117634169132
70.0,60.0,3.575,0.06621019272976213
70.0,60.0,3.6,0.04754012132246757
70.0,60.0,3.625,0.026972152697294825
70.0,60.0,3.65,0.004057310446393554
70.0,60.0,3.675,-0.02179294247917909
70.0,60.0,3.7,-0.05136563764995888
70.0,60.0,3.725,-0.08573668224901769
70.0,60.0,3.75,-0.12641312019100442
70.0,60.0,3.775,-0.17556286291462433
70.0,60.0,3.8,-0.23639346030882927
70.0,62.5,2.4,3.850861123600478
70.0,62.5,2.425,2.506265582022086
70.0,62.5,2.45,1.8001274980554547
70.0,62.5,2.475,1.4160379083610692
70.0,62.5,2.5,1.1782252957031114
70.0,62.5,2.525,1.0167795856324655
70.0,62.5,2.55,0.8997993650422516
70.0,62.5,2.575,0.8107855569266657
70.0,62.5,2.6,0.7405152427695697
70.0,62.5,2.625,0.6834019967623924
70.0,62.5,2.65,0.6358659553761593
70.0,62.5,2.675,0.5955126596356317
70.0,62.5,2.7,0.5606828680742145
70.0,62.5,2.725,0.5302001686337724
70.0,62.5,2.75,0.5032186557204972
70.0,62.5,2.775,0.4791199387918903
70.0,62.5,2.8,0.45741131705554144
70.0,62.5,2.825,0.4376401003621352
70.0,62.5,2.85,0.419414159228196
70.0,62.5,2.875,0.4024566232664176
70.0,62.5,2.9,0.3865794960758304
70.0,62.5,2.925,0.3716360611503585
70.0,62.5,2.95,0.357499768522938
70.0,62.5,2.975,0.34405876402049135
70.0,62.5,3.0,0.3312140719472779
70.0,62.5,3.025,0.3188780042548164
70.0,62.5,3.05,0.3069724429505451
70.0,62.5,3.075,0.29542714660769737
70.0,62.5,3.1,0.2841781896253435
70.0,62.5,3.125,0.2731665661422524
70.0,62.5,3.15,0.2623369491938168
70.0,62.5,3.175,0.2516365836788364
70.0,62.5,3.2,0.24101431291130151
70.0,62.5,3.225,0.23041986283383287
70.0,62.5,3.25,0.2197946934151803
70.0,62.5,3.275,0.2090947940234932
70.0,62.5,3.3,0.1982666591797364
70.0,62.5,3.325,0.1872455249856151
70.0,62.5,3.35,0.17596762462749957
70.0,62.5,3.375,0.1643616298711183
70.0,62.5,3.4,0.15234703395558988
70.0,62.5,3.425,0.13983165093700844
70.0,62.5,3.45,0.12670834582085677
70.0,62.5,3.475,0.11285078095886282
70.0,62.5,3.5,0.09810781345599595
70.0,62.5,3.525,0.08229600090084012
70.0,62.5,3.55,0.06518940967019726
70.0,62.5,3.575,0.04650550996034087
70.0,62.5,3.6,0.025885285590984984
70.0,62.5,3.625,0.0028646120250240006
70.0,62.5,3.65,-0.02316784681507261
70.0,62.5,3.675,-0.053034072186537884
70.0,62.5,3.7,-0.0878647615052137
70.0,62.5,3.725,-0.1292551401369398
70.0,62.5,3.75,-0.17951931047256597
70.0,62.5,3.775,-0.2421148384743089
70.0,62.5,3.8,-0.32235422083651766
70.0,65.0,2.4,2.0038696602732777
70.0,65.0,2.425,1.533154427475438
70.0,65.0,2.45,1.2546072904547265
70.0,65.0,2.475,1.0710950969825352
70.0,65.0,2.5,0.9408551581354787
70.0,65.0,2.525,0.8433474156302639
70.0,65.0,2.55,0.767336180882801
70.0,65.0,2.575,0.7061127317830843
70.0,65.0,2.6,0.6555344677524616
70.0,65.0,2.625,0.6128719108896752
70.0,65.0,2.65,0.5762487656405918
70.0,65.0,2.675,0.5443415747419887
70.0,65.0,2.7,0.5162004874965143
70.0,65.0,2.725,0.49114177929489194
70.0,65.0,2.75,0.468645002017874
70.0,65.0,2.775,0.44824763538810286
70.0,65.0,2.8,0.4295242038239906
70.0,65.0,2.825,0.41215468176273934
70.0,65.0,2.85,0.39592741514301005
70.0,65.0,2.875,0.3806865241213453
70.0,65.0,2.9,0.3663005270266084
70.0,65.0,2.925,0.3526534754437067
70.0,65.0,2.95,0.33964276199671994
70.0,65.0,2.975,0.32717766259742653
70.0,65.0,3.0,0.3151776986433574
70.0,65.0,3.025,0.3035709465578261
70.0,65.0,3.05,0.29229244877687854
70.0,65.0,3.075,0.2812827935181627
70.0,65.0,3.1,0.27048689069540516
70.0,65.0,3.125,0.2598530182578674
70.0,65.0,3.15,0.2493306302791691
70.0,65.0,3.175,0.2388558586284477
70.0,65.0,3.2,0.2284112430532925
70.0,65.0,3.225,0.2179280193810314
70.0,65.0,3.25,0.20735632365309078
70.0,65.0,3.275,0.19664229462440488
70.0,65.0,3.3,0.1857276614497771
70.0,65.0,3.325,0.17454854351393423
70.0,65.0,3.35,0.16303379404933044
70.0,65.0,3.375,0.15110291277290863
70.0,65.0,3.4,0.13866341118105252
70.0,65.0,3.425,0.12560744016438222
70.0,65.0,3.45,0.1118074049750608
70.0,65.0,3.475,0.09711017183750682
70.0,65.0,3.5,0.08132928876491965
70.0,65.0,3.525,0.06423436271095813
70.0,65.0,3.55,0.04553629316531688
70.0,65.0,3.575,0.0248663501922924
70.0,65.0,3.6,0.0017459106661781257
70.0,65.0,3.625,-0.02445831809702127
70.0,65.0,3.65,-0.05460219828532425
70.0,65.0,3.675,-0.08986990792750986
70.0,65.0,3.7,-0.13194333554316845
70.0,65.0,3.725,-0.18328113322496128
70.0,65.0,3.75,-0.2475889738329333
70.0,65.0,3.775,-0.330613398383215
70.0,65.0,3.8,-0.44137946938430966
70.0,67.5,2.4,1.353465580745508
70.0,67.5,2.425,1.1391752858357167
70.0,67.5,2.45,0.9911363510335921
70.0,67.5,2.475,0.8824280990214471
70.0,67.5,2.5,0.798893587816773
70.0,67.5,2.525,0.7324496147581124
70.0,67.5,2.55,0.67811569303938
70.0,67.5,2.575,0.6326021819002351
70.0,67.5,2.6,0.5937686586991112
70.0,67.5,2.625,0.5601173197090746
70.0,67.5,2.65,0.5305724552868691
70.0,67.5,2.675,0.5043588503131179
70.0,67.5,2.7,0.4809053447181187
70.0,67.5,2.725,0.459737441768403
70.0,67.5,2.75,0.4404012802414034
70.0,67.5,2.775,0.42252726853779915
70.0,67.5,2.8,0.405870751462635
70.0,67.5,2.825,0.39026227912879013
70.0,67.5,2.85,0.3755636175984092
70.0,67.5,2.875,0.36165348672689707
70.0,67.5,2.9,0.34842453538025125
70.0,67.5,2.925,0.33578198924307945
70.0,67.5,2.95,0.3236421057730545
70.0,67.5,2.975,0.3119304872552343
70.0,67.5,3.0,0.30058046508294894
70.0,67.5,3.025,0.2895316929255075
70.0,67.5,3.05,0.27872903279484373
70.0,67.5,3.075,0.26811283481662207
70.0,67.5,3.1,0.2576348302515856
70.0,67.5,3.125,0.2472662216548382
70.0,67.5,3.15,0.23694418209180249
70.0,67.5,3.175,0.22662299000905442
70.0,67.5,3.2,0.21625485746809636
70.0,67.5,3.225,0.20578967946515953
